-999 45.99 -74.01
year month day global_rad(MJ/m2) cloud_cov(-) air_temp(C) rel_hum(%) air_press(hPa) wind_sp(m/s) precip(mm/day) inflow(m3/day) inflow_T(C) inflow_C(-) inflow_S(kg/m3) inflow_TP(mg/m3) inflow_DOP(mg/m3) inflow_chla(mg/m3) inflow_DOC(mg/m3) 
2015  4 23 14.936 0.842   2.45  79.05  967.15  4.629  0.877    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 24 16.667 0.826   0.24  65.07  974.42  4.456  0.099    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 25 17.540 0.644   3.98  66.71  974.50  3.859  0.050    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 26 14.739 0.846   6.03  73.53  972.84  2.734  1.077    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 27 11.591 0.902   8.83  70.35  974.61  3.695  0.129    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 28 18.983 0.425  12.31  52.78  977.31  3.486  0.001    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 29 18.398 0.568  11.46  54.60  974.92  2.952  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  4 30 18.220 0.801  10.56  62.48  979.23  3.030  0.024    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  1 21.022 0.487  11.86  67.93  981.55  1.314  1.867    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  2 25.231 0.302  14.47  53.07  979.95  1.482  0.039    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  3 24.548 0.369  16.85  45.64  981.81  2.375  0.040    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  4 23.173 0.572  17.55  58.21  982.41  5.039  2.149    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  5 26.233 0.338  13.06  50.98  989.46  3.468  0.002    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  6 24.868 0.142  14.63  43.28  989.73  3.492  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  7 27.554 0.578  18.51  40.17  986.16  2.791  0.000    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  8 26.629 0.419  19.82  51.63  985.01  2.384  0.003    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5  9 15.923 0.867  18.85  70.11  985.63  2.144  1.289    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 10  7.457 0.946  15.21  89.64  985.93  2.137  5.293    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 11  2.859 1.000   7.02  93.62  985.85  4.079 14.502    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 12 14.242 0.860  12.20  81.82  972.37  4.377 12.136    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
2015  5 13 28.799 0.304   9.76  48.77  984.68  4.106  0.029    0.0 4.0 0.5 0.01  50.0 7.0 0.1 3000.0
