"","year","month","day","global_rad.MJ.m2.","cloud_cov...","air_temp.C.","rel_hum...","air_press.hPa.","wind_sp.m.s.","rain","date","doy","doy_start","buoy_start","buoy_end","category","period"
"75",2016,10,19,11.345,0.304,9.89,76.97,981.85,3.176,0.026,2016-10-19,"293",265,131,307,"buoy","lf"
"76",2016,10,20,3.235,0.967,7.47,94.16,987.6,2.077,14.289,2016-10-20,"294",265,131,307,"buoy","lf"
"77",2016,10,21,0.712,1,7.35,97.32,976.46,4.92,38.667,2016-10-21,"295",265,131,307,"buoy","lf"
"78",2016,10,22,0.9,1,4.58,95.71,963.1,5.001,10.328,2016-10-22,"296",265,131,307,"buoy","lf"
"79",2016,10,23,9.04,0.734,3.71,73.06,965.03,7.091,4.823,2016-10-23,"297",265,131,307,"buoy","lf"
"80",2016,10,24,7.823,0.927,2.67,71.38,975.94,5.813,0.695,2016-10-24,"298",265,131,307,"buoy","lf"
"81",2016,10,25,7.106,0.694,1.37,69.48,986.09,4.766,0.347,2016-10-25,"299",265,131,307,"buoy","lf"
"82",2016,10,26,6.512,0.782,-0.6,71.29,995.77,2.598,0.164,2016-10-26,"300",265,131,307,"buoy","lf"
"83",2016,10,27,7.015,1,-0.26,81.42,993.94,3.937,6.77,2016-10-27,"301",265,131,307,"buoy","lf"
"84",2016,10,28,2.793,0.998,1.58,99.15,987,2.308,9.658,2016-10-28,"302",265,131,307,"buoy","lf"
"85",2016,10,29,0.983,1,2.29,98.91,978.12,2.483,7.223,2016-10-29,"303",265,131,307,"buoy","lf"
"86",2016,10,30,4.181,0.989,3.22,82.73,980.47,2.491,0.157,2016-10-30,"304",265,131,307,"buoy","lf"
"87",2016,10,31,8.842,0.62,0.87,73.68,989.03,2.09,0.046,2016-10-31,"305",265,131,307,"buoy","lf"
"88",2016,11,1,7.541,0.872,2.25,81.81,988.64,2.397,1.899,2016-11-01,"306",265,131,307,"buoy","lf"
"89",2016,11,2,4.595,0.985,8.27,87.45,986.43,1.534,0.513,2016-11-02,"307",265,131,307,"buoy","lf"
"90",2017,9,11,20.683,0.009,14.66,72.07,991.01,2.693,0,2017-09-11,"254",254,123,306,"buoy","lf"
"91",2017,9,12,19.889,0.218,16.13,74.9,980.98,3.56,0,2017-09-12,"255",254,123,306,"buoy","lf"
"92",2017,9,13,19.97,0.215,17.59,78.84,977.2,2.7,0,2017-09-13,"256",254,123,306,"buoy","lf"
